Account,Amount,Date
Main Business Revenue,3956433.90,2024-02-05
Total Revenue,3956433.90,2024-02-05
Cost of Goods Sold,1684000.00,2024-02-05
Total Cost,1684000.00,2024-02-05
Gross Profit,2272433.90,2024-02-05
Administrative Expenses,165230.64,2024-02-05
Selling Expenses,360961.15,2024-02-05
Depreciation,91503.27,2024-02-05
Financial Expenses,81394.22,2024-02-05
Total Expenses,699089.28,2024-02-05
Interest Income,15414.09,2024-02-05
Profit Before Tax,1588758.71,2024-02-05
Tax Expense,197821.72,2024-02-05
Net Profit,1390936.99,2024-02-05
