Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1390936.99,2024-02-05
Depreciation ,91503.27,2024-02-05
(Increase) Decrease in Accounts Receivable ,-3149338.94,2024-02-05
(Increase) Decrease in Interest Receivable ,-15414.09,2024-02-05
(Increase) Decrease in Inventory ,-0.00,2024-02-05
Increase (Decrease) in Accounts Payable ,302000.00,2024-02-05
Increase (Decrease) in Tax Payable ,197821.72,2024-02-05
Net Cash Flow from Operating Activities ,-1182491.05,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,6817508.95,2024-02-05
Net Increase ,-1182491.05,2024-02-05
