Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,4540900.90,2024-01-29
Bank Deposits,5000000.00,2023-12-31,2866063.83,2024-01-29
Interest Receivable,0.00,2023-12-31,8967.44,2024-01-29
Accounts Receivable,0.00,2023-12-31,1851327.29,2024-01-29
Inventory,0.00,2023-12-31,450000.00,2024-01-29
Total Current Assets,8000000.00,2023-12-31,9717259.46,2024-01-29
Fixed Assets,5000000.00,2023-12-31,5528936.17,2024-01-29
Accumulated Depreciation,0.00,2023-12-31,45749.47,2024-01-29
Total Non-current Assets,5000000.00,2023-12-31,5483186.70,2024-01-29
Total Assets,13000000.00,2023-12-31,15200446.16,2024-01-29
Accounts Payable,0.00,2023-12-31,1240000.00,2024-01-29
Taxes Payable,0.00,2023-12-31,253246.99,2024-01-29
Total Current Liabilities,0.00,2023-12-31,1493246.99,2024-01-29
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-29
Retained Earnings,0.00,2023-12-31,707199.17,2024-01-29
Total Owner's Equity,13000000.00,2023-12-31,13707199.17,2024-01-29
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,15200446.16,2024-01-29
