Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-29
Net Profit ,707199.17,2024-01-29
Depreciation ,45749.47,2024-01-29
(Increase) Decrease in Accounts Receivable ,-1851327.29,2024-01-29
(Increase) Decrease in Interest Receivable ,-8967.44,2024-01-29
(Increase) Decrease in Inventory ,-450000.00,2024-01-29
Increase (Decrease) in Accounts Payable ,1240000.00,2024-01-29
Increase (Decrease) in Tax Payable ,253246.99,2024-01-29
Net Cash Flow from Operating Activities ,-64099.10,2024-01-29
Cash Flow from Investing Activities,,2024-01-29
Purchase of Fixed Assets ,528936.17,2024-01-29
Net Cash Flow from Investing Activities ,-528936.17,2024-01-29
Cash and Cash Equivalents,,2024-01-29
Beginning Balance ,8000000.00,2024-01-29
Ending Balance ,7406964.73,2024-01-29
Net Increase ,-593035.27,2024-01-29
