Account,Amount,Date
Main Business Revenue,5064939.23,2024-01-29
Total Revenue,5064939.23,2024-01-29
Cost of Goods Sold,2735000.00,2024-01-29
Total Cost,2735000.00,2024-01-29
Gross Profit,2329939.23,2024-01-29
Administrative Expenses,250651.94,2024-01-29
Selling Expenses,855800.20,2024-01-29
Depreciation,45749.47,2024-01-29
Financial Expenses,226258.90,2024-01-29
Total Expenses,1378460.51,2024-01-29
Interest Income,8967.44,2024-01-29
Profit Before Tax,960446.16,2024-01-29
Tax Expense,253246.99,2024-01-29
Net Profit,707199.17,2024-01-29
