Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-01
Net Profit ,-2035736.52,2024-02-01
Depreciation ,100239.89,2024-02-01
(Increase) Decrease in Accounts Receivable ,-3098023.69,2024-02-01
(Increase) Decrease in Interest Receivable ,-5155.34,2024-02-01
(Increase) Decrease in Inventory ,-3420000.00,2024-02-01
Increase (Decrease) in Accounts Payable ,1260000.00,2024-02-01
Increase (Decrease) in Tax Payable ,341835.08,2024-02-01
Net Cash Flow from Operating Activities ,-6856840.58,2024-02-01
Cash Flow from Investing Activities,,2024-02-01
Purchase of Fixed Assets ,666078.18,2024-02-01
Net Cash Flow from Investing Activities ,-666078.18,2024-02-01
Cash and Cash Equivalents,,2024-02-01
Beginning Balance ,8000000.00,2024-02-01
Ending Balance ,477081.24,2024-02-01
Net Increase ,-7522918.76,2024-02-01
