Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,376598.62,2024-02-01
Bank Deposits,5000000.00,2023-12-31,100482.62,2024-02-01
Interest Receivable,0.00,2023-12-31,5155.34,2024-02-01
Accounts Receivable,0.00,2023-12-31,3098023.69,2024-02-01
Inventory,0.00,2023-12-31,3420000.00,2024-02-01
Total Current Assets,8000000.00,2023-12-31,7000260.27,2024-02-01
Fixed Assets,5000000.00,2023-12-31,5666078.18,2024-02-01
Accumulated Depreciation,0.00,2023-12-31,100239.89,2024-02-01
Total Non-current Assets,5000000.00,2023-12-31,5565838.29,2024-02-01
Total Assets,13000000.00,2023-12-31,12566098.56,2024-02-01
Accounts Payable,0.00,2023-12-31,1260000.00,2024-02-01
Taxes Payable,0.00,2023-12-31,341835.08,2024-02-01
Total Current Liabilities,0.00,2023-12-31,1601835.08,2024-02-01
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-01
Retained Earnings,0.00,2023-12-31,-2035736.52,2024-02-01
Total Owner's Equity,13000000.00,2023-12-31,10964263.48,2024-02-01
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,12566098.56,2024-02-01
