Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2067352.98,2024-02-02
Bank Deposits,5000000.00,2023-12-31,3752082.80,2024-02-02
Interest Receivable,0.00,2023-12-31,12737.96,2024-02-02
Accounts Receivable,0.00,2023-12-31,321015.98,2024-02-02
Inventory,0.00,2023-12-31,8466430.00,2024-02-02
Total Current Assets,8000000.00,2023-12-31,14619619.72,2024-02-02
Fixed Assets,8000000.00,2023-12-31,9213417.20,2024-02-02
Accumulated Depreciation,0.00,2023-12-31,115511.91,2024-02-02
Total Non-current Assets,8000000.00,2023-12-31,9097905.29,2024-02-02
Total Assets,16000000.00,2023-12-31,23717525.01,2024-02-02
Accounts Payable,0.00,2023-12-31,7566370.00,2024-02-02
Taxes Payable,0.00,2023-12-31,38779.91,2024-02-02
Total Current Liabilities,0.00,2023-12-31,7605149.91,2024-02-02
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-02
Retained Earnings,0.00,2023-12-31,112375.10,2024-02-02
Total Owner's Equity,16000000.00,2023-12-31,16112375.10,2024-02-02
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,23717525.01,2024-02-02
