id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,35400.0,150.0,Director,Staff,Paid,Cash,S002,Supplier 2,F001,Quick Meal Set,236.0,150.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 236.0 units at a unit price of $150.00, totaling $35400.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240101001,Sales Expenses,2024-01-01,208.92,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $208.92. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,226.27,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $226.27. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45745.8,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45745.80.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,839.44,150.0,,,Paid,,,,F001,Quick Meal Set,4.0,209.86,Cash,C010,41.97,797.47,600.0,239.44,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $209.86, totaling $839.44. The cost amount for this transaction was $600.00, with a tax amount of $41.97, leading to a total amount due of $797.47. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240102003,Sale,2024-01-02,459.92,150.0,,,Paid,,,,F001,Quick Meal Set,2.0,229.96,Cash,C012,23.0,436.92,300.0,159.92,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 2.0 units at a unit price of $229.96, totaling $459.92. The cost amount for this transaction was $300.00, with a tax amount of $23.00, leading to a total amount due of $436.92. The receive_method of this transaction was cash, and this transaction was paid.",
