Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-02
Net Profit ,112375.10,2024-02-02
Depreciation ,115511.91,2024-02-02
(Increase) Decrease in Accounts Receivable ,-321015.98,2024-02-02
(Increase) Decrease in Interest Receivable ,-12737.96,2024-02-02
(Increase) Decrease in Inventory ,-8466430.00,2024-02-02
Increase (Decrease) in Accounts Payable ,7566370.00,2024-02-02
Increase (Decrease) in Tax Payable ,38779.91,2024-02-02
Net Cash Flow from Operating Activities ,-967147.02,2024-02-02
Cash Flow from Investing Activities,,2024-02-02
Purchase of Fixed Assets ,1213417.20,2024-02-02
Net Cash Flow from Investing Activities ,-1213417.20,2024-02-02
Cash and Cash Equivalents,,2024-02-02
Beginning Balance ,8000000.00,2024-02-02
Ending Balance ,5819435.78,2024-02-02
Net Increase ,-2180564.22,2024-02-02
