Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,-206636.07,2024-01-29
Bank Deposits,5000000.00,2023-12-31,2406.99,2024-01-29
Interest Receivable,0.00,2023-12-31,1225.71,2024-01-29
Accounts Receivable,0.00,2023-12-31,1604015.21,2024-01-29
Inventory,0.00,2023-12-31,5550000.00,2024-01-29
Total Current Assets,8000000.00,2023-12-31,6951011.84,2024-01-29
Fixed Assets,5000000.00,2023-12-31,5480116.37,2024-01-29
Accumulated Depreciation,0.00,2023-12-31,45745.79,2024-01-29
Total Non-current Assets,5000000.00,2023-12-31,5434370.58,2024-01-29
Total Assets,13000000.00,2023-12-31,12385382.42,2024-01-29
Accounts Payable,0.00,2023-12-31,450000.00,2024-01-29
Taxes Payable,0.00,2023-12-31,287762.05,2024-01-29
Total Current Liabilities,0.00,2023-12-31,737762.05,2024-01-29
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-29
Retained Earnings,0.00,2023-12-31,-1352379.63,2024-01-29
Total Owner's Equity,13000000.00,2023-12-31,11647620.37,2024-01-29
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,12385382.42,2024-01-29
