id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,800000.0,Director,Junior Staff,Paid,Bank Transfer,50000.0,S002,Supplier 2,P003,Chemical Product C,16.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 16.0 units at a unit price of $50000.00, totaling $800000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Junior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240101001,Administrative Expenses,2024-01-01,35468.63,Director,Director,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $35468.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Director, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,26873.53,Director,Senior Manager,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $26873.53. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Manager, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45745.79,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45745.79.",
Interest20240101001,Interest Receivables,2024-01-01,373.8,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $373.80. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,56670.46,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,56670.46,Cash,C020,2833.52,53836.94,50000.0,6670.46,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $56670.46, totaling $56670.46. The cost amount for this transaction was $50000.00, with a tax amount of $2833.52, leading to a total amount due of $53836.94. The receive_method of this transaction was cash, and this transaction was paid.",
Purchase20231231002,Purchase,2023-12-31,3000000.0,Director,Junior Staff,Paid,Bank Transfer,100000.0,S002,Supplier 2,P004,Chemical Product D,30.0,100000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 30.0 units at a unit price of $100000.00, totaling $3000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Junior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
