Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-29
Net Profit ,-1352379.63,2024-01-29
Depreciation ,45745.79,2024-01-29
(Increase) Decrease in Accounts Receivable ,-1604015.21,2024-01-29
(Increase) Decrease in Interest Receivable ,-1225.71,2024-01-29
(Increase) Decrease in Inventory ,-5550000.00,2024-01-29
Increase (Decrease) in Accounts Payable ,450000.00,2024-01-29
Increase (Decrease) in Tax Payable ,287762.05,2024-01-29
Net Cash Flow from Operating Activities ,-7724112.71,2024-01-29
Cash Flow from Investing Activities,,2024-01-29
Purchase of Fixed Assets ,480116.37,2024-01-29
Net Cash Flow from Investing Activities ,-480116.37,2024-01-29
Cash and Cash Equivalents,,2024-01-29
Beginning Balance ,8000000.00,2024-01-29
Ending Balance ,-204229.08,2024-01-29
Net Increase ,-8204229.08,2024-01-29
