Account,Amount,Date
Main Business Revenue,5755241.17,2024-01-29
Total Revenue,5755241.17,2024-01-29
Cost of Goods Sold,4680000.00,2024-01-29
Total Cost,4680000.00,2024-01-29
Gross Profit,1075241.17,2024-01-29
Administrative Expenses,1082287.97,2024-01-29
Selling Expenses,463643.51,2024-01-29
Depreciation,45745.79,2024-01-29
Financial Expenses,549407.19,2024-01-29
Total Expenses,2141084.46,2024-01-29
Interest Income,1225.71,2024-01-29
Profit Before Tax,-1064617.58,2024-01-29
Tax Expense,287762.05,2024-01-29
Net Profit,-1352379.63,2024-01-29
