Account,Amount,Date
Main Business Revenue,5431018.59,2024-01-30
Total Revenue,5431018.59,2024-01-30
Cost of Goods Sold,4410000.00,2024-01-30
Total Cost,4410000.00,2024-01-30
Gross Profit,1021018.59,2024-01-30
Administrative Expenses,1425164.20,2024-01-30
Selling Expenses,493854.67,2024-01-30
Depreciation,45751.41,2024-01-30
Financial Expenses,432511.69,2024-01-30
Total Expenses,2397281.97,2024-01-30
Interest Income,2672.87,2024-01-30
Profit Before Tax,-1373590.51,2024-01-30
Tax Expense,271550.92,2024-01-30
Net Profit,-1645141.43,2024-01-30
