Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-01
Net Profit ,146127.58,2024-02-01
Depreciation ,91509.94,2024-02-01
(Increase) Decrease in Accounts Receivable ,-330748.44,2024-02-01
(Increase) Decrease in Interest Receivable ,-9066.78,2024-02-01
(Increase) Decrease in Inventory ,-7832820.00,2024-02-01
Increase (Decrease) in Accounts Payable ,5472810.00,2024-02-01
Increase (Decrease) in Tax Payable ,43168.61,2024-02-01
Net Cash Flow from Operating Activities ,-2419019.09,2024-02-01
Cash Flow from Investing Activities,,2024-02-01
Purchase of Fixed Assets ,0.00,2024-02-01
Net Cash Flow from Investing Activities ,-0.00,2024-02-01
Cash and Cash Equivalents,,2024-02-01
Beginning Balance ,8000000.00,2024-02-01
Ending Balance ,5580980.91,2024-02-01
Net Increase ,-2419019.09,2024-02-01
