Account,Amount,Date
Main Business Revenue,863371.65,2024-02-01
Total Revenue,863371.65,2024-02-01
Cost of Goods Sold,562950.00,2024-02-01
Total Cost,562950.00,2024-02-01
Gross Profit,300421.65,2024-02-01
Administrative Expenses,16809.11,2024-02-01
Selling Expenses,7553.67,2024-02-01
Depreciation,91509.94,2024-02-01
Financial Expenses,4319.52,2024-02-01
Total Expenses,120192.24,2024-02-01
Interest Income,9066.78,2024-02-01
Profit Before Tax,189296.19,2024-02-01
Tax Expense,43168.61,2024-02-01
Net Profit,146127.58,2024-02-01
