Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-29
Net Profit ,-1175062.19,2024-01-29
Depreciation ,45765.70,2024-01-29
(Increase) Decrease in Accounts Receivable ,-3558301.64,2024-01-29
(Increase) Decrease in Interest Receivable ,-1731.44,2024-01-29
(Increase) Decrease in Inventory ,-3760000.00,2024-01-29
Increase (Decrease) in Accounts Payable ,2700000.00,2024-01-29
Increase (Decrease) in Tax Payable ,354996.05,2024-01-29
Net Cash Flow from Operating Activities ,-5394333.52,2024-01-29
Cash Flow from Investing Activities,,2024-01-29
Purchase of Fixed Assets ,2265288.42,2024-01-29
Net Cash Flow from Investing Activities ,-2265288.42,2024-01-29
Cash and Cash Equivalents,,2024-01-29
Beginning Balance ,8000000.00,2024-01-29
Ending Balance ,340378.06,2024-01-29
Net Increase ,-7659621.94,2024-01-29
