Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,145666.48,2024-01-29
Bank Deposits,5000000.00,2023-12-31,194711.58,2024-01-29
Interest Receivable,0.00,2023-12-31,1731.44,2024-01-29
Accounts Receivable,0.00,2023-12-31,3558301.64,2024-01-29
Inventory,0.00,2023-12-31,3760000.00,2024-01-29
Total Current Assets,8000000.00,2023-12-31,7660411.14,2024-01-29
Fixed Assets,5000000.00,2023-12-31,7265288.42,2024-01-29
Accumulated Depreciation,0.00,2023-12-31,45765.70,2024-01-29
Total Non-current Assets,5000000.00,2023-12-31,7219522.72,2024-01-29
Total Assets,13000000.00,2023-12-31,14879933.86,2024-01-29
Accounts Payable,0.00,2023-12-31,2700000.00,2024-01-29
Taxes Payable,0.00,2023-12-31,354996.05,2024-01-29
Total Current Liabilities,0.00,2023-12-31,3054996.05,2024-01-29
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-29
Retained Earnings,0.00,2023-12-31,-1175062.19,2024-01-29
Total Owner's Equity,13000000.00,2023-12-31,11824937.81,2024-01-29
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14879933.86,2024-01-29
